Novela,Inicio,Final,Capitulos,Autor,Audiencia,Faixa,Minutos,Horas,Maiores,Mais Famosas,Audiência Média Por Autor,Posição Autor,Número de Paravras,Posição Qtd Novelas,Classificação,Ano,Menu
Champagne,1983-10-24,1984-05-04,167,Cassiano Gabus Mendes,46.84,21 hrs,8350,139.16666666666666,155,70,50.64416666666668,1,1,7,>40,1984,01 - >40
"Meu Bem, Meu Mal",1990-10-29,1991-05-17,173,Cassiano Gabus Mendes,50.34,21 hrs,8650,144.16666666666666,135,45,50.64416666666668,1,4,7,>40,1991,01 - >40
Escalada,1975-01-06,1975-08-25,199,Lauro César Muniz,47.96,21 hrs,9950,165.83333333333334,62,59,48.451,3,1,11,>40,1975,01 - >40
O Casarão,1976-06-07,1976-12-10,159,Lauro César Muniz,51.82,21 hrs,7950,132.5,188,36,48.451,3,2,11,>40,1976,01 - >40
Espelho Mágico,1977-06-14,1977-12-05,150,Lauro César Muniz,48.91,21 hrs,7500,125.0,216,54,48.451,3,2,11,>40,1977,01 - >40
Os Gigantes,1979-08-20,1980-02-01,143,Lauro César Muniz,49.29,21 hrs,7150,119.16666666666667,225,49,48.451,3,2,11,>40,1980,01 - >40
Roda de Fogo,1986-08-25,1987-03-20,179,Lauro César Muniz,55.46,21 hrs,8950,149.16666666666666,105,20,48.451,3,3,11,>40,1987,01 - >40
O Salvador da Pátria,1989-01-09,1989-08-11,185,Lauro César Muniz,62.05,21 hrs,9250,154.16666666666666,79,3,48.451,3,4,11,>40,1989,01 - >40
Selva de Pedra,1986-02-24,1986-08-22,155,Regina Braga,59.6,21 hrs,7750,129.16666666666666,196,9,46.915,5,3,30,>40,1986,01 - >40
Rainha da Sucata,1990-04-02,1990-10-26,179,Sílvio de Abreu,60.91,21 hrs,8950,149.16666666666666,105,6,46.4175,7,3,7,>40,1990,01 - >40
A Próxima Vítima,1995-03-13,1995-11-03,203,Sílvio de Abreu,47.41,21 hrs,10150,169.16666666666666,48,64,46.4175,7,3,7,>40,1995,01 - >40
Torre de Babel,1998-05-25,1999-01-15,203,Sílvio de Abreu,43.56,21 hrs,10150,169.16666666666666,48,96,46.4175,7,3,7,>40,1999,01 - >40
Belíssima,2005-11-07,2006-07-07,209,Sílvio de Abreu,48.43,21 hrs,10450,174.16666666666666,31,57,46.4175,7,1,7,>40,2006,01 - >40
Passione,2010-05-17,2011-01-14,209,Sílvio de Abreu,35.13,21 hrs,10450,174.16666666666666,31,157,46.4175,7,1,7,<40 >30,2011,02 - <40 >30
Partido Alto,1984-05-07,1984-11-23,174,Aguinaldo Silva,46.86,21 hrs,8700,145.0,130,69,46.06846153846155,8,2,5,>40,1984,01 - >40
